[LOG] 2024-11-29T20:54:15.395Z HTTP Endpoint: https://crow.resilientdb.com/v1/blocks
[LOG] 2024-11-29T20:54:15.401Z WebSocket Endpoint: wss://crow.resilientdb.com/blockupdatelistener
[LOG] 2024-11-29T20:54:15.402Z Initializing WebSocketMongoSync...
[LOG] 2024-11-29T20:54:18.812Z Connected to MongoDB database: myDatabase, collection: polls
[LOG] 2024-11-29T20:54:36.784Z Checking for blocks from 18601 to 18700
[LOG] 2024-11-29T20:54:36.879Z Checking for blocks from 18701 to 18800
[LOG] 2024-11-29T20:54:36.972Z Checking for blocks from 18801 to 18900
[LOG] 2024-11-29T20:54:37.063Z Checking for blocks from 18901 to 19000
[LOG] 2024-11-29T20:54:37.159Z Checking for blocks from 19001 to 19100
[LOG] 2024-11-29T20:54:37.263Z Checking for blocks from 19101 to 19200
[LOG] 2024-11-29T20:54:37.373Z Checking for blocks from 19201 to 19300
[LOG] 2024-11-29T20:54:37.484Z Checking for blocks from 19301 to 19400
[LOG] 2024-11-29T20:54:37.576Z Checking for blocks from 19401 to 19500
[LOG] 2024-11-29T20:54:37.673Z Checking for blocks from 19501 to 19600
[LOG] 2024-11-29T20:54:37.767Z Checking for blocks from 19601 to 19700
[LOG] 2024-11-29T20:54:37.860Z Checking for blocks from 19701 to 19800
[LOG] 2024-11-29T20:54:37.955Z Checking for blocks from 19801 to 19900
[LOG] 2024-11-29T20:54:38.044Z Checking for blocks from 19901 to 20000
[LOG] 2024-11-29T20:54:38.135Z Checking for blocks from 20001 to 20100
[LOG] 2024-11-29T20:54:38.358Z Checking for blocks from 20101 to 20200
[LOG] 2024-11-29T20:54:38.450Z Checking for blocks from 20201 to 20300
[LOG] 2024-11-29T20:54:38.539Z Checking for blocks from 20301 to 20400
[LOG] 2024-11-29T20:54:38.628Z Checking for blocks from 20401 to 20500
[LOG] 2024-11-29T20:54:38.717Z Checking for blocks from 20501 to 20600
[LOG] 2024-11-29T20:54:38.807Z Checking for blocks from 20601 to 20700
[LOG] 2024-11-29T20:54:38.900Z Checking for blocks from 20701 to 20800
[LOG] 2024-11-29T20:54:39.008Z Checking for blocks from 20801 to 20900
[LOG] 2024-11-29T20:54:39.097Z Checking for blocks from 20901 to 21000
[LOG] 2024-11-29T20:54:39.186Z Checking for blocks from 21001 to 21100
[LOG] 2024-11-29T20:54:39.276Z Checking for blocks from 21101 to 21200
[LOG] 2024-11-29T20:54:39.367Z Checking for blocks from 21201 to 21300
[LOG] 2024-11-29T20:54:39.456Z Checking for blocks from 21301 to 21400
[LOG] 2024-11-29T20:54:39.549Z Checking for blocks from 21401 to 21500
[LOG] 2024-11-29T20:54:39.640Z Checking for blocks from 21501 to 21600
[LOG] 2024-11-29T20:54:39.727Z Checking for blocks from 21601 to 21700
[LOG] 2024-11-29T20:54:39.815Z Checking for blocks from 21701 to 21800
[LOG] 2024-11-29T20:54:39.906Z Checking for blocks from 21801 to 21900
[LOG] 2024-11-29T20:54:39.997Z Checking for blocks from 21901 to 22000
[LOG] 2024-11-29T20:54:40.105Z Checking for blocks from 22001 to 22100
[LOG] 2024-11-29T20:54:40.261Z Checking for blocks from 22101 to 22200
[LOG] 2024-11-29T20:54:40.418Z Checking for blocks from 22201 to 22300
[LOG] 2024-11-29T20:54:40.510Z Checking for blocks from 22301 to 22400
[LOG] 2024-11-29T20:54:40.610Z Checking for blocks from 22401 to 22500
[LOG] 2024-11-29T20:54:40.961Z Checking for blocks from 22501 to 22600
[LOG] 2024-11-29T20:54:41.053Z Checking for blocks from 22601 to 22700
[LOG] 2024-11-29T20:54:41.143Z Checking for blocks from 22701 to 22800
[LOG] 2024-11-29T20:54:41.233Z Checking for blocks from 22801 to 22900
[LOG] 2024-11-29T20:54:41.323Z Checking for blocks from 22901 to 23000
[LOG] 2024-11-29T20:54:41.415Z Checking for blocks from 23001 to 23100
[LOG] 2024-11-29T20:54:41.506Z Checking for blocks from 23101 to 23200
[LOG] 2024-11-29T20:54:41.597Z Checking for blocks from 23201 to 23300
[LOG] 2024-11-29T20:54:41.708Z Checking for blocks from 23301 to 23400
[LOG] 2024-11-29T20:54:41.798Z Checking for blocks from 23401 to 23500
[LOG] 2024-11-29T20:54:41.886Z Checking for blocks from 23501 to 23600
[LOG] 2024-11-29T20:54:41.977Z Checking for blocks from 23601 to 23700
[LOG] 2024-11-29T20:54:42.066Z Checking for blocks from 23701 to 23800
[LOG] 2024-11-29T20:54:42.154Z Checking for blocks from 23801 to 23900
[LOG] 2024-11-29T20:54:42.242Z Checking for blocks from 23901 to 24000
[LOG] 2024-11-29T20:54:42.331Z Checking for blocks from 24001 to 24100
[LOG] 2024-11-29T20:54:42.425Z Checking for blocks from 24101 to 24200
[LOG] 2024-11-29T20:54:42.535Z Checking for blocks from 24201 to 24300
[LOG] 2024-11-29T20:54:42.630Z Checking for blocks from 24301 to 24400
[LOG] 2024-11-29T20:54:42.725Z Checking for blocks from 24401 to 24500
[LOG] 2024-11-29T20:54:42.833Z Checking for blocks from 24501 to 24600
[LOG] 2024-11-29T20:54:42.930Z Checking for blocks from 24601 to 24700
[LOG] 2024-11-29T20:54:43.020Z Checking for blocks from 24701 to 24800
[LOG] 2024-11-29T20:54:43.107Z Checking for blocks from 24801 to 24900
[LOG] 2024-11-29T20:54:43.199Z Checking for blocks from 24901 to 25000
[LOG] 2024-11-29T20:54:43.290Z Checking for blocks from 25001 to 25100
[LOG] 2024-11-29T20:54:43.380Z Checking for blocks from 25101 to 25200
[LOG] 2024-11-29T20:54:43.482Z Checking for blocks from 25201 to 25300
[LOG] 2024-11-29T20:54:43.577Z Checking for blocks from 25301 to 25400
[LOG] 2024-11-29T20:54:43.670Z Checking for blocks from 25401 to 25500
[LOG] 2024-11-29T20:54:43.761Z Checking for blocks from 25501 to 25600
[LOG] 2024-11-29T20:54:43.852Z Checking for blocks from 25601 to 25700
[LOG] 2024-11-29T20:54:43.940Z Checking for blocks from 25701 to 25800
[LOG] 2024-11-29T20:54:44.030Z Checking for blocks from 25801 to 25900
[LOG] 2024-11-29T20:54:44.195Z Checking for blocks from 25901 to 26000
[LOG] 2024-11-29T20:54:44.286Z Checking for blocks from 26001 to 26100
[LOG] 2024-11-29T20:54:44.379Z Checking for blocks from 26101 to 26200
[LOG] 2024-11-29T20:54:44.473Z Checking for blocks from 26201 to 26300
[LOG] 2024-11-29T20:54:44.572Z Checking for blocks from 26301 to 26400
[LOG] 2024-11-29T20:54:44.662Z Checking for blocks from 26401 to 26500
[LOG] 2024-11-29T20:54:44.754Z Checking for blocks from 26501 to 26600
[LOG] 2024-11-29T20:54:44.873Z Checking for blocks from 26601 to 26700
[LOG] 2024-11-29T20:54:44.965Z Checking for blocks from 26701 to 26800
[LOG] 2024-11-29T20:54:45.062Z Checking for blocks from 26801 to 26900
